x1,y1,x2,y2,x3,y3,vL1,vLx1,vLy1,vGx1,vGy1,vL2,vLx2,vLy2,vGx2,vGy2,vL3,vLx3,vLy3,vGx3,vGy3,yaw1,pitch1,roll1,yaw2,pitch2,roll2,yaw3,pitch3,roll3
90.85750579833984,-170.13632202148438,88.82524108886719,-170.1376495361328,49.484519958496094,-174.3583984375,35.87715327298888,35.877014075950726,-0.023982133001158895,9.965714454650879,0.0567278116941452,35.87775657849711,35.87503506476323,0.034081927962519756,9.965861320495605,0.060258157551288605,44.6516885778828,44.65168006030166,2.8147626429699007e-05,12.403082847595215,0.06377877295017242,0.0063607449221129925,0.0027066468176248143,2.1240772001507558e-05,0.004956947458599641,0.012254714687135354,-0.011364241003586125,0.005141494639317774,0.0006177425162172654,-1.065264563021112e-06
91.35687255859375,-170.1334991455078,89.3245849609375,-170.1349639892578,50.1089973449707,-174.3551788330078,36.00414024752903,36.0039999986807,-0.02377837185248761,10.000988006591797,0.05693495646119118,36.004770403102896,36.002047948559756,0.029002244105287022,10.001150131225586,0.059161122888326645,45.17048006707063,45.170471449279795,1.2266063894646285e-05,12.547189712524414,0.06451529264450073,0.006353362972466429,0.002714276097954646,2.0970284544143057e-05,0.004971966750880116,0.01225149600728664,-0.011241201920927164,0.005141494639317774,0.0006177425162172654,-1.065264563021112e-06
91.85797882080078,-170.1306610107422,89.82569885253906,-170.13218688964844,50.740394592285156,-174.35194396972656,36.13056990172907,36.13042852789069,-0.02376880665618986,10.036107063293457,0.05708613619208336,36.13127595909923,36.128549009081844,0.024312880631965746,10.036296844482422,0.058191556483507156,45.65592760908064,45.655918899175504,-3.7325934654176596e-06,12.682034492492676,0.06520415842533112,0.006345929007954825,0.0027216671502025913,2.061089027234176e-05,0.004988560012976722,0.012248515555519814,-0.011137337598116772,0.005141494639317774,0.0006177425162172654,-1.065264563021112e-06
92.36084747314453,-170.12782287597656,90.32854461669922,-170.12942504882812,51.37879180908203,-174.34864807128906,36.25644144108691,36.25629902949116,-0.023506443905882458,10.071070671081543,0.05731016397476196,36.257172349270654,36.254441875219925,0.01977909374705776,10.071273803710938,0.057292647659778595,46.17026270716884,46.170253814686816,3.050127126701426e-05,12.82490348815918,0.06593415886163712,0.006338905960877042,0.002729415804647691,2.046669734549266e-05,0.005007597973730235,0.01224482041950733,-0.011057977478227014,0.005140397125665417,0.0006207227079097672,-1.065264563021112e-06
92.8654556274414,-170.12496948242188,90.83312225341797,-170.12661743164062,52.02412033081055,-174.34532165527344,36.38176582716451,36.38162218865868,-0.02347726674742357,10.10588264465332,0.05747174471616745,36.38251478702333,36.37978031425672,0.015475948979596671,10.106096267700195,0.056482817977666855,46.6613442445374,46.66133525694593,1.396950591279502e-05,12.961313247680664,0.0666307732462883,0.006332256900678901,0.0027372835731337337,2.033299679220097e-05,0.005028813796883,0.012240886015115658,-0.010999387934245269,0.005140397125665417,0.0006207227079097672,-1.065264563021112e-06
93.37181091308594,-170.12208557128906,91.3394775390625,-170.12380981445312,52.676395416259766,-174.34201049804688,36.50653536690732,36.506390669600336,-0.023217644297158207,10.14054012298584,0.05769814923405647,36.50728537514181,36.504546203737604,0.011355826014468667,10.140759468078613,0.055730193853378296,47.16520442198837,47.16519533696884,-2.883833626378194e-06,13.101272583007812,0.06734554469585419,0.006325829943954483,0.0027451513416197762,2.0281213555856244e-05,0.005050371877847731,0.012237309472995466,-0.010958908925973366,0.005140397125665417,0.0006207227079097672,-1.065264563021112e-06
93.87989044189453,-170.11915588378906,91.8475341796875,-170.12088012695312,53.33555221557617,-174.33859252929688,36.63075756366266,36.630611615819205,-0.023261812826302623,10.17504596710205,0.05785283073782921,36.63151673133766,36.628771924750126,0.007535462654376281,10.175271987915039,0.05512616038322449,47.657161438197726,47.65715226023168,-2.0536316017444964e-05,13.23792552947998,0.06804309785366058,0.0063207865826401454,0.002753019110105819,2.0582397910917368e-05,0.005077920510819189,0.012233852565064866,-0.010947189976879717,0.005140397125665417,0.0006207227079097672,-1.065264563021112e-06
94.38967895507812,-170.11622619628906,92.3573226928711,-170.11788940429688,54.001590728759766,-174.33517456054688,36.7544486079814,36.75430138306955,-0.02315231789962213,10.209403991699219,0.058055829256772995,36.75513233028314,36.752385028870776,0.003988990368399322,10.209612846374512,0.054625701159238815,48.15350960872035,48.153500334398224,-3.8525474986226005e-05,13.375798225402832,0.06874682754278183,0.006316420454868636,0.0027613638549042843,2.0901675718056093e-05,0.005107903439474548,0.01222932311061713,-0.01095571001177337,0.005140397125665417,0.0006207227079097672,-1.065264563021112e-06
94.90119171142578,-170.11329650878906,92.86880493164062,-170.11495971679688,54.674373626708984,-174.3314208984375,36.877578534067794,36.877429990273775,-0.023296342081391058,10.243606567382812,0.05818496644496918,36.87828320630726,36.87552836020975,0.0008418181337525198,10.243824005126953,0.05423159524798393,48.64963462923769,48.64959981242464,-0.008303895754899772,13.513606071472168,0.06703060865402222,0.006311842626596413,0.00276935073743127,2.0804468875350122e-05,0.005137048408654103,0.012225508340415052,-0.010975952116652572,0.005131867207947408,0.00031006334128749156,-0.0008351673828674304
95.41439056396484,-170.11036682128906,93.38201904296875,-170.11192321777344,55.353450775146484,-174.32650756835938,37.00017087718042,37.0000211932325,-0.023178803676349592,10.27765941619873,0.058383759111166,37.00086545999247,36.99810410127342,-0.0020439878623357386,10.277876853942871,0.05389944091439247,49.15626035985907,49.154773814713295,-0.056778204915879156,13.654163360595703,0.053343504667282104,0.006307094709715505,0.0027768611637944834,2.0588162214515813e-05,0.005164937218842927,0.012221693570212973,-0.011007377417515507,0.005104640546990551,-0.0016425847051985327,-0.0055707998480791
95.9292984008789,-170.107421875,93.89690399169922,-170.10897827148438,56.03867721557617,-174.32069396972656,37.122226285256694,37.12207538019768,-0.02329750246090434,10.311563491821289,0.0585160069167614,37.122930885328124,37.12016140096072,-0.0046563616251357395,10.311785697937012,0.05364695563912392,49.66874434122497,49.6614649186945,-0.13307843105170025,13.796000480651855,0.02981332689523697,0.0063023795621995745,0.0027838943537709495,2.0345588046835997e-05,0.0051928894871671,0.012218832752635739,-0.011051052219095506,0.005092058151137227,-0.005828499694693047,-0.014894528384892464
