x1,y1,x2,y2,x3,y3,vL1,vLx1,vLy1,vGx1,vGy1,vL2,vLx2,vLy2,vGx2,vGy2,vL3,vLx3,vLy3,vGx3,vGy3,yaw1,pitch1,roll1,yaw2,pitch2,roll2,yaw3,pitch3,roll3,delta
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.08973503112793,-174.51376342773438,5.287767791748047,-2.0939950524724854e-12,1.6527119815346018e-14,-5.816820007435719e-13,1.2799983910454274e-15,5.287767791748047,-2.0940957567168763e-12,2.4995561184658506e-14,-5.817233630564522e-13,3.6321458874951675e-15,1.7639999270439148,0.0,0.0,0.0,0.0,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.0
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.0913028717041,-174.5128631591797,7.048595952987671,-3.0665451929307317e-12,2.32423177473882e-14,-8.518410586286218e-13,1.6076119944394328e-15,7.048595952987671,-3.1133023253857216e-12,2.707780170599413e-14,-8.648350048254261e-13,2.5990797293101156e-15,2.891218611633583,0.15810414762373876,-0.07046585646454043,0.0421309657394886,-0.02178393118083477,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.0054392443715670395,0.002377510015438419,-0.0030423947091578712,-3.0130607342471194e-07
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.09964370727539,-174.5134735107422,8.808542633056641,-2.934034022092664e-12,2.2484758584451057e-14,-8.150317985615441e-13,1.6066943401202012e-15,8.808542633056641,-2.588085892240279e-12,4.8630515652098935e-14,-7.189779912923633e-13,9.416261986718716e-15,3.134920786876923,0.1218829128338651,-0.05215500427631854,0.01695909909904003,-0.01889953389763832,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.005528049870799524,0.019537567693417975,-0.0051787830557680865,-3.0130607342471194e-07
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.10554313659668,-174.51332092285156,10.567608261108399,-3.849099947199212e-12,2.768593271300945e-14,-1.0692208837065342e-12,1.6046402852231095e-15,10.567608261108399,-1.277408553983564e-12,4.933876168161246e-14,-3.5490797041688726e-13,1.1685292151757641e-14,1.593524850809796,0.12196803230876224,0.028116620936669435,0.020211465656757355,0.006026158109307289,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.005437852453778553,0.03086757459342897,-0.004291949632548725,-3.0130607342471194e-07
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.1076602935791,-174.5132598876953,12.325794124603272,-3.784726520095839e-12,2.2551510288642696e-14,-1.0513315478605234e-12,2.802150955035328e-16,12.325794124603272,-3.8618574055448715e-13,6.354706818995511e-14,-1.073725526892777e-13,1.7041083171312477e-14,0.7758915503329763,0.0873605291038513,0.01049875694182794,0.017037777230143547,0.002147638937458396,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.0054179968193466006,0.03364670178481895,-0.004020840093652983,-3.0130607342471194e-07
25.08973503112793,-170.51376342773438,22.9052677154541,-170.52621459960938,20.108182907104492,-174.51324462890625,14.083101081848145,-6.161998916393501e-12,2.5512450058852593e-14,-1.7116789756410622e-12,-2.6559956846843947e-15,14.083101081848145,-7.535900699398326e-13,6.54704713846078e-14,-2.0943069869473752e-13,1.6994454007566127e-14,0.33394063776127775,0.036754471214549375,0.004464858250950428,0.00710015743970871,0.0009196350583806634,0.005691953391880339,0.0,0.0,0.005691953391880339,0.0,0.0,0.00541301431542436,0.03361797085396512,-0.0038946065180575527,-3.0130607342471194e-07
25.090944290161133,-170.51364135742188,22.9058780670166,-170.52615356445312,20.108152389526367,-174.51327514648438,14.203320491459559,0.03309216263312523,0.0017693391615269034,0.006093531847000122,0.00022565740800928324,15.609178226222404,-0.02459778544774815,0.0007300314742102694,-0.0079719889909029,8.119466656353325e-05,0.12352271299450539,0.024204097602002265,0.001995026707966032,0.005613262299448252,0.000456274370662868,0.005690362777307397,0.0007851123079043879,-7.616639904894355e-05,0.005692717490247786,0.00026261804715928033,-1.7576865226353636e-05,0.0054119656957451415,0.032822725985332236,-0.0038131143088497785,-3.0130607342471194e-07
25.11138153076172,-170.51345825195312,22.924177169799805,-170.5255584716797,20.1079044342041,-174.51329040527344,7.807856602215539,0.7420764402248581,0.004134288360756237,0.18542732298374176,0.0019348346395418048,15.561848059363081,-0.22865298851685864,-0.004970595022911971,-0.09857811778783798,-0.0035233425442129374,0.013713229963138831,0.002515141061986051,0.000560831753377545,0.0005779862403869629,0.0001448799594072625,0.005623978285650669,0.00958204215883479,-0.00011877696023556603,0.005643920784907238,0.008117079375222883,-0.0003669835657036284,0.0054109051126469635,0.03194939848189499,-0.0037513281913369645,-7.086838650138816e-06
25.11629295349121,-170.5097198486328,22.959848403930664,-170.5214080810547,20.107648849487305,-174.51332092285156,1.6067836460067122,1.0862551915004894,0.400822243124081,0.3011941909790039,0.11326530575752258,4.958689090452781,-1.0514585602854236,-0.20161274647259167,-0.33326053619384766,-0.06005256995558739,0.024346960055073027,0.005566444224809697,-0.00010216750162031407,0.0017508482560515404,5.4788170018582605e-06,0.00577803903381985,0.00034284590503508,-0.000593352225851073,0.006024863612451106,0.031001088429609813,-0.001516936556909134,0.00541018366646885,0.03119778368205818,-0.0037039244440822045,3.896525231539272e-05
25.107336044311523,-170.5104217529297,22.97136688232422,-170.5204620361328,20.107391357421875,-174.51333618164062,0.9407920759285413,-0.06847209329076119,0.2318333521473569,-0.021782925352454185,0.06366598606109619,1.0930796866965635,-0.6354078658386275,0.4370181261303575,-0.16885906457901,0.12047020345926285,0.0426384361193509,-0.006026747024964656,-0.0006483934450087858,-0.0013137817149981856,-0.0001442294887965545,0.0061857840810218435,-0.009376525185275535,0.0023696089574387503,0.006184408807990169,0.03841280722373324,-0.0005496763839737735,0.005408733492031519,0.030605313563299614,-0.0036666407089697454,-0.00033704275847412646
